"","individuals captured"
"Andrena angustior",3
"Andrena cinerea",2
"Andrena flavipes",6
"Andrena hispania",1
"Andrena labialis",1
"Andrena pilipes",7
"Andrena rhyssonota",7
"Andrena sp.",15
"Anthophora retusa",2
"Anthopora dispar",1
"Anthopora plumipes",1
"Apis mellifera",7
"Bombus pascuorum",5
"Bombus pratorum",5
"Bombus terrestris",43
"Eucera elongatula",2
"Eucera notata",4
"Eucera rufa",1
"Eucera sp.",2
"Flavipanurgus venustus",5
"Lasioglossum immunitum",18
"Lasioglossum malachurum",12
"Lasioglossum sp.",4
"Megachile willughbiella",1
"Osmia caerulescens",2
"Osmia latreillei",5
"Panurgus dargius",1
"Panurgus sp.",1
"Psithyrus vestalis",1
"Rhodanthidium sticticum",26
"Xylocopa cantabrita",6
"Xylocopa violacea",4
"NA's",1
